"date","node1","node2","node3","Here"
"2016-11-14 19:00:00",373.506,307.732,NA,4.07
"2016-11-14 20:00:00",373.5,298.715,NA,3.95045454545455
"2016-11-14 21:00:00",373.4938,313.861,NA,2.04395348837209
"2016-11-14 22:00:00",369.295333333333,288.962,111.792,1.24641025641026
"2016-11-14 23:00:00",356.628833333333,314.083,111.891,2.65054054054054
"2016-11-15 00:00:00",352.8925,289.146,NA,0
"2016-11-15 01:00:00",348.38,314.119,NA,0
"2016-11-15 02:00:00",348.406333333333,314.193,NA,0
"2016-11-15 03:00:00",348.4375,289.244,NA,0
"2016-11-15 04:00:00",348.439333333333,295.546,NA,0
"2016-11-15 05:00:00",355.084666666667,314.34,NA,0
"2016-11-15 06:00:00",373.7215,314.328,NA,0.370243902439024
"2016-11-15 07:00:00",419.913333333333,339.646,NA,4.41333333333333
"2016-11-15 08:00:00",221.923,364.754,NA,7.76458333333333
"2016-11-15 09:00:00",272.636,314.525,87.101,3.44695652173913
"2016-11-15 10:00:00",260.161666666667,289.625,NA,4.99041666666667
"2016-11-15 11:00:00",348.6505,264.455,62.04,5.39405405405405
"2016-11-15 12:00:00",361.7106,239.42,87.163,6.31522727272727
"2016-11-15 13:00:00",358.865,264.529,112.3835,6.48825
"2016-11-15 14:00:00",378.232,272.972,NA,3.44863636363636
"2016-11-15 15:00:00",392.83575,289.662,NA,7.36325581395349
"2016-11-15 16:00:00",398.955,289.527,238.28,4.926
"2016-11-15 17:00:00",398.942,289.514,212.75,3.300625
"2016-11-15 18:00:00",348.464,289.379,NA,4.58104166666667
"2016-11-15 19:00:00",NA,289.355,187.492,2.40073170731707
"2016-11-15 20:00:00",346.801,264.05,NA,2.08448979591837
"2016-11-15 21:00:00",323.213,264.013,162.419,2.83596153846154
"2016-11-15 22:00:00",323.151,264.025,162.444,0.83
"2016-11-15 23:00:00",272.439,263.976,NA,0.0104545454545455
"2016-11-16 00:00:00",247.286,263.915,NA,0
"2016-11-16 01:00:00",221.689,263.902,NA,0
"2016-11-16 02:00:00",196.487,263.915,111.706,0
"2016-11-16 03:00:00",182.543,274.233,NA,0
"2016-11-16 04:00:00",171.482,263.767,111.521,0
"2016-11-16 05:00:00",196.585,288.999,111.546,0
"2016-11-16 06:00:00",171.469,289.085,86.423,0.681914893617021
"2016-11-16 07:00:00",196.536,364.398,136.668,4.25605263157895
"2016-11-16 08:00:00",171.383,289.207,61.375,8.55076923076923
"2016-11-16 09:00:00",221.788,264.013,75.514,5.28810810810811
"2016-11-16 10:00:00",272.648,289.4715,111.971,6.81813953488372
"2016-11-16 11:00:00",356.901666666667,289.478,187.566,4.02615384615385
"2016-11-16 12:00:00",323.2,289.465,NA,6.25477272727273
